Gemeente,webpagina,contact,vergif aangeboden,klemmen aangeboden,rattenvanger aangeboden,Preventietips,Klemmen voor vergif?
Aalst,/,info@aalst.be,NA,NA,NA,NA,NA
Aalter,https://www.aalter.be/verdelgen-ratten,milieu@aalter.be,nee,nee,nee,nee,nee
Aarschot,https://www.aarschot.be/ratten--en-muizenvergif,technischezaken@aarschot.be,nee,nee,nee,ja,nee
Aartselaar,/,milieu@aartselaar.be,NA,NA,NA,NA,NA
Affligem,https://affligem.be/Affligem/Nederlands/Leven/leefmilieu/dierenwelzijn/ratten/page.aspx/1223,milieu@affligem.be,nee,nee,nee,ja,nee
Alken,https://www.alken.be/product/57/rattenbestrijding,technische.dienst@alken.be,nee,nee,nee,ja,nee
Alveringem,via mail,omgeving@alveringem.be,nee,nee,nee,NA,NA
Antwerpen,https://www.antwerpen.be/nl/info/52d5052039d8a6ec798b4870/voorkom-en-bestrijd-ratten-en-muizen,klm.sd@stad.antwerpen.be,nee,nee,nee,ja,nee
Anzegem,https://www.anzegem.be/producten/rattenbestrijding-op-het-openbaar-domein,openbare.werken@anzegem.be,nee,nee,nee,ja,ja
Ardooie,https://www.ardooie.be/wonen/milieu-natuur/dieren/ongediertebestrijding.aspx,milieu@ardooie.be,nee,nee,nee,ja,nee
Arendonk,https://arendonk.be/wonen-omgeving/dieren/ratten,grondgebiedszaken@arendonk.be,nee,nee,nee,ja,nee
As,https://www.as.be/Leefomgeving/Hinder/Ratten,milieu@as.be,nee,nee,nee,ja,nee
Asse,https://www.asse.be/rattenbestrijding,werkliedencentrale@asse.be,nee,nee,ja,nee,nee
Assenede,https://www.assenede.be/nl/wonen-verbouwen-en-milieu/ratten,milieu@assenede.be,ja,nee,nee,ja,ja
Avelgem,https://www.avelgem.be/producten/rattenbestrijding-op-het-openbaar-domein,technische.dienst@avelgem.be,nee,nee,nee,nee,nee
Baarle-Hertog,https://www.baarle-hertog.be/ratten,gemeente@baarle-hertog.be,nee,nee,nee,ja,Ja
Balen,https://www.balen.be/product/169/ratten-bestrijden-van-ratten,milieudienst@balen.be,nee,nee,nee,ja,Ja
Beernem,https://www.beernem.be/product/225/rattenbestrijding,milieu@beernem.be,ja,nee,ja,ja,nee
Beerse,https://www.beerse.be/product.aspx?id=159,openbarewerken@beerse.be,nee,nee,nee,ja,nee
Beersel,https://www.beersel.be/product/638/ratten,loods.info@beersel.be,nee,nee,ja,ja,nee
Begijnendijk,https://www.begijnendijk.be/product/117/ratten,milieu@begijnendijk.be,nee,nee,nee,ja,nee
Bekkevoort,https://www.bekkevoort.be/rattenbestrijding,milieu@bekkevoort.be,nee,nee,nee,ja,nee
Beringen,https://www.beringen.be/E_Loket/Producten/O/Ongediertebestrijding_ratten,werkplaatsen@beringen.be,nee,nee,nee,ja,nee
Berlaar,https://www.berlaar.be/ratten,openbarewerken@berlaar.be,nee,nee,ja,ja,nee
Berlare,https://www.berlare.be/rattenbestrijding.html,openbarewerken@berlare.be,nee,nee,ja,ja,nee
Bertem,https://www.bertem.be/product/243/rattenvergif-en-zandzakjes,openbarewerken@bertem.be,ja,nee,nee,nee,nee
Bever,/,info@bever-bievene.be,NA,NA,NA,NA,NA
Beveren,https://www.beveren.be/product/ratten-rattenbestrijding,info@beveren.be,ja,nee,ja,ja,ja
Bierbeek,https://www.bierbeek.be/ongedierte-bestrijden,milieu@bierbeek.be,nee,ja,nee,ja,ja
Bilzen,https://www.bilzen.be/dieren-2,omgeving@bilzen.be,nee,nee,nee,nee,nee
Blankenberge,/,milieu@blankenberge.be,NA,NA,NA,NA,NA
Bocholt,https://bocholt.be/inwoner/milieu-en-afval/dierenhinder/rattenbestrijding/,groen@bocholt.be,nee,nee,nee,ja,nee
Boechout,https://www.boechout.be/wonen-milieu-mobiliteit/milieu/milieuhinder/overlast-van-dieren/ratten,omgeving@boechout.be,nee,nee,nee,ja,ja
Bonheiden,https://www.bonheiden.be/ratten,sandra.tournaye@bonheiden.be,nee,ja,ja,ja,ja
Boom,/,milieu@boom.be,NA,NA,NA,NA,NA
Boortmeerbeek,https://www.boortmeerbeek.be/ratten-voorkomen-en-bestrijden,info@boortmeerbeek.be,nee,nee,nee,ja,ja
Borgloon,/,milieudienst@borgloon.be,NA,NA,NA,NA,NA
Bornem,https://www.bornem.be/product/1136/,patrimonium@bornem.be,nee,nee,ja,ja,nee
Borsbeek,via mail,milieu@borsbeek.be,ja,nee,ja,NA,NA
Boutersem,http://www.boutersem.be/product/238/rattenverdelging,technischedienst@boutersem.be,nee,nee,nee,ja,nee
Brakel,https://www.brakel.be/ik-woon-in-brakel/milieubeleid/hinder/bestrijding-ongedierte/,milieu@brakel.be,nee,nee,ja,nee,nee
Brasschaat,https://www.brasschaat.be/overlast-van-dieren,info@brasschaat.be,ja,nee,nee,ja,ja
Brecht,https://www.brecht.be/werken-ondernemen/landbouw/ondersteuning/bestrijding-ratten-en-muizen,omgeving@brecht.be,nee,nee,nee,ja,ja
Bredene,/,milieu@bredene.be,NA,NA,NA,NA,NA
Bree,https://www.bree.be/wonen-en-welzijn/milieu/ongewenste-dieren-en-planten/ratten,centralebalie@bree.be,nee,nee,nee,ja,nee
Brugge,https://www.brugge.be/ratten-bestrijden-0,info@brugge.be,nee,nee,nee,ja,nee
Buggenhout,https://www.buggenhout.be/rattenvergif,info@buggenhout.be,ja,nee,nee,nee,nee
Damme,https://www.damme.be/product/488/ratten,groendienst@damme.be,nee,nee,ja,ja,nee
De Haan,via mail,milieudienst@dehaan.be,nee,nee,ja,NA,NA
De Panne,/,milieu@depanne.be,NA,NA,NA,NA,NA
De Pinte,via mail,communicatie@depinte.be,nee,nee,nee,NA,NA
Deerlijk,/,omgevingsloket@deerlijk.be,NA,NA,NA,NA,NA
Deinze,https://www.deinze.be/rattenbestrijding?q=ratten,omgeving@deinze.be,nee,nee,ja,ja,nee
Denderleeuw,https://www.denderleeuw.be/product_catalog/2745,openbareruimte@denderleeuw.be,nee,nee,ja,ja,ja
Dendermonde,https://www.dendermonde.be/exoten,groenbeleid@dendermonde.be,nee,nee,nee,nee,nee
